HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,Zip Code,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,target
"$  20,000 - $29,999",OWNER,Irish,N,7,70-74,English,TUSTIN,ORANGE,92782,$0 - $0.01,SunOnly,MW,0,Partner,0
"$  20,000 - $29,999",RENTER,Hispanic,N,2,55-59,English,HUNTINGTON BEACH,ORANGE,92648,$0.01 - $0.50,SunOnly,FE,0,Partner,1
"$  40,000 - $49,999",OWNER,Hispanic,N,3,30-34,Spanish,LOS ALAMITOS,ORANGE,90720,$7.00 - $7.99,7Day,FM,0,Crew,0
"$500,000 Plus",OWNER,Vietnamese,Y,24,45-49,English,GARDEN GROVE,ORANGE,92842,$0 - $0.01,SunOnly,MW,0,Partner,1
"$500,000 Plus",OWNER,unknown,N,23,55-59,English,YORBA LINDA,ORANGE,92886,$0.01 - $0.50,SunOnly,YW,0,TeleIn,1
"$100,000 - $124,999",OWNER,English,N,3,45-49,English,YORBA LINDA,ORANGE,92886,$0 - $0.01,7Day,YW,0,Partner,1
"$  90,000 - $99,999",OWNER,English,N,45,75 years or more,English,YORBA LINDA,ORANGE,92886,$10.00 - $10.99,7Day,FW,0,CustCall,1
"Under $20,000",OWNER,English,N,5,75 years or more,English,ORANGE,ORANGE,92867,$1.00 - $1.99,SunOnly,MM,0,CircAdm,0
"$300,000 - $399,999",OWNER,English,N,5,45-49,English,MISSION VIEJO,ORANGE,92692,$7.00 - $7.99,Thu-Sun,MW,0,CustCall,1
"$125,000 - $149,999",OWNER,Irish,N,33,75 years or more,English,ORANGE,ORANGE,92860,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$  30,000 - $39,999",RENTER,Hispanic,N,5,35-39,English,TUSTIN,ORANGE,92780,$4.00 - $4.99,7Day,YM,0,TeleOut,0
"$  50,000 - $59,999",OWNER,Hispanic,N,3,30-34,English,FULLERTON,ORANGE,92833,$0 - $0.01,7Day,FM,0,Partner,1
"$  60,000 - $69,999",OWNER,Hispanic,N,3,70-74,Spanish,LAGUNA HILLS,ORANGE,92653,$4.00 - $4.99,7Day,YW,0,Crew,0
"$500,000 Plus",OWNER,Hispanic,Y,20,50-54,English,ALISO VIEJO,ORANGE,92656,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  40,000 - $49,999",OWNER,Scottish (Scotch),N,38,75 years or more,English,SEAL BEACH,ORANGE,90740,$1.00 - $1.99,7Day,ME,0,CustCall,1
"$200,000 - $249,999",OWNER,Irish,N,35,75 years or more,English,ORANGE,ORANGE,92860,$0 - $0.01,SunOnly,MM,0,Partner,1
"$150,000 - $174,999",OWNER,German,N,24,60-64,English,ANAHEIM,ORANGE,92807,$0.01 - $0.50,7Day,MW,0,CustCall,1
"Under $20,000",RENTER,Italian,N,1,25-29,English,SANTA ANA,ORANGE,92704,$0.01 - $0.50,SunOnly,YM,0,Crew,0
"$  40,000 - $49,999",RENTER,Hispanic,N,3,35-39,English,HUNTINGTON BEACH,ORANGE,92647,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  20,000 - $29,999",RENTER,unknown,N,1,30-34,Spanish,SANTA ANA,ORANGE,92703,$0.01 - $0.50,SunOnly,FE,0,Partner,1
"$  80,000 - $89,999",OWNER,Vietnamese,N,12,40-44,English,SANTA ANA,ORANGE,92703,$2.00 - $2.99,7Day,MW,0,System,0
"$  20,000 - $29,999",RENTER,Arab,N,18,50-54,English,FULLERTON,ORANGE,92831,$2.00 - $2.99,SatSun,FE,0,CustCall,0
"$100,000 - $124,999",OWNER,English,N,15,70-74,English,LAKEWOOD,LOS ANGELES,90714,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$175,000 - $199,999",OWNER,unknown,N,42,70-74,Spanish,HUNTINGTON BEACH,ORANGE,92647,$0.51 - $0.99,SunOnlyT,MW,0,CustCall,0
"$  60,000 - $69,999",OWNER,English,N,35,60-64,English,BUENA PARK,ORANGE,90620,$0.01 - $0.50,7Day,MM,0,TeleIn,1
"$  90,000 - $99,999",OWNER,English,N,37,75 years or more,English,HUNTINGTON BEACH,ORANGE,92648,$10.00 - $10.99,7Day,MW,7,CustCall,1
"$  70,000 - $79,999",RENTER,French,N,2,55-59,English,HUNTINGTON BEACH,ORANGE,92648,$4.00 - $4.99,7Day,YM,0,TeleOut,0
"$150,000 - $174,999",OWNER,English,N,9,75 years or more,English,MISSION VIEJO,ORANGE,92691,$3.00 - $3.99,7Day,MW,0,CustCall,1
"$125,000 - $149,999",OWNER,Irish,N,19,65-69,English,NEWPORT BEACH,ORANGE,92663,$0.01 - $0.50,7Day,MM,0,Kiosk,0
"Under $20,000",OWNER,Hispanic,Y,14,24 years or less,Spanish,SANTA ANA,ORANGE,92707,$4.00 - $4.99,7Day,FM,0,TeleIn,0
"$200,000 - $249,999",RENTER,English,N,2,25-29,English,SAN CLEMENTE,ORANGE,92681,$0.01 - $0.50,SunOnly,YM,0,Crew1,1
"$  70,000 - $79,999",OWNER,English,N,5,70-74,English,SAN JUAN CAPISTRANO,ORANGE,92675,$1.00 - $1.99,7Day,MM,0,CustCall,0
"$  60,000 - $69,999",OWNER,Jewish,N,3,30-34,English,LAKEWOOD,LOS ANGELES,90713,$0.01 - $0.50,SunOnly,FM,0,Partner,0
"$125,000 - $149,999",OWNER,English,Y,23,55-59,English,PLACENTIA,ORANGE,92870,$10.00 - $10.99,7Day,MW,0,VRU,1
"$300,000 - $399,999",OWNER,Irish,N,43,70-74,English,HUNTINGTON BEACH,ORANGE,92646,$2.00 - $2.99,7Day,MW,8,CustCall,1
"$  60,000 - $69,999",OWNER,Vietnamese,N,1,25-29,Vietnamese,GARDEN GROVE,ORANGE,92843,$1.00 - $1.99,7Day,MM,0,TeleIn,0
"$  60,000 - $69,999",OWNER,Hispanic,N,24,50-54,English,MISSION VIEJO,ORANGE,92691,$1.00 - $1.99,Thu-Sun,YW,0,System,0
"$  40,000 - $49,999",RENTER,English,Y,2,50-54,English,HUNTINGTON BEACH,ORANGE,92646,$0 - $0.01,7Day,YM,0,Partner,0
"$  30,000 - $39,999",OWNER,Hispanic,N,41,70-74,Spanish,MIDWAY CITY,ORANGE,92655,$1.00 - $1.99,7Day,MW,0,CustCall,1
"$150,000 - $174,999",OWNER,Armenian,N,3,30-34,English,RANCHO SANTA MARGARITA,ORANGE,92688,$0 - $0.01,SunOnly,YW,0,Partner,1
"$  80,000 - $89,999",RENTER,Chinese,N,1,70-74,English,ORANGE,ORANGE,92866,$0 - $0.01,SunOnly,YM,0,Partner,1
"Under $20,000",RENTER,Irish,N,3,25-29,English,MIDWAY CITY,ORANGE,92655,$0.51 - $0.99,SunOnly,YM,0,DIRECTM4,0
"Under $20,000",RENTER,Hispanic,N,5,30-34,English,CHINO,SAN BERNARDINO,91710,$5.00 - $5.99,7Day,FM,0,TeleIn,0
"$150,000 - $174,999",OWNER,Japanese,Y,10,50-54,English,LAKEWOOD,LOS ANGELES,90711,$0 - $0.01,7Day,FM,0,Partner,1
"Under $20,000",OWNER,English,N,37,70-74,English,HUNTINGTON BEACH,ORANGE,92647,$1.00 - $1.99,Thu-Sun,ME,0,Crew,0
"$400,000 - $499,999",OWNER,unknown,N,20,60-64,Spanish,MISSION VIEJO,ORANGE,92692,$10.00 - $10.99,7Day,MW,5,CustCall,1
"$200,000 - $249,999",OWNER,Indian,N,8,65-69,Hindi,YORBA LINDA,ORANGE,92887,$0 - $0.01,SunOnly,MW,0,Partner,1
"$  90,000 - $99,999",OWNER,English,N,2,25-29,English,CORONA,RIVERSIDE,92881,$0.01 - $0.50,SunOnly,FM,0,Partner,0
"$150,000 - $174,999",OWNER,English,N,2,55-59,English,NORCO,RIVERSIDE,92860,$0.01 - $0.50,SunOnly,FW,0,Partner,0
"$  40,000 - $49,999",OWNER,Hispanic,N,20,40-44,English,ANAHEIM,ORANGE,92805,$0.01 - $0.50,SunOnly,FM,0,Partner,0
"$  50,000 - $59,999",RENTER,Hispanic,N,3,35-39,Spanish,CORONA,RIVERSIDE,92879,$2.00 - $2.99,Soooooo,FE,0,TeleIn,0
"$200,000 - $249,999",OWNER,English,Y,16,50-54,English,SANTA ANA,ORANGE,92704,$8.00 - $8.99,7Day,FW,0,CustCall,1
"Under $20,000",OWNER,unknown,N,9,75 years or more,English,SEAL BEACH,ORANGE,90740,$1.00 - $1.99,SunOnly,ME,0,TeleIn,1
"$125,000 - $149,999",OWNER,Italian,N,14,65-69,English,YORBA LINDA,ORANGE,92886,$2.00 - $2.99,7Day,MW,0,CustCall,0
"$300,000 - $399,999",OWNER,English,N,28,70-74,English,IRVINE,ORANGE,92614,$4.00 - $4.99,7Day,YM,0,CustCall,0
"$400,000 - $499,999",OWNER,Italian,Y,11,45-49,English,CYPRESS,ORANGE,90630,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  30,000 - $39,999",RENTER,Welsh,N,8,40-44,English,LONG BEACH,LOS ANGELES,90805,$2.00 - $2.99,SunOnly,FE,0,Kiosk,0
"Under $20,000",RENTER,Hispanic,N,2,25-29,English,LONG BEACH,LOS ANGELES,90813,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"$300,000 - $399,999",OWNER,English,N,30,70-74,English,ANAHEIM,ORANGE,92804,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  70,000 - $79,999",OWNER,German,Y,14,55-59,English,ALISO VIEJO,ORANGE,92657,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"Under $20,000",RENTER,Scottish (Scotch),N,5,35-39,English,STANTON,ORANGE,90680,$4.00 - $4.99,7DayT,ME,0,TeleIn,0
"Under $20,000",OWNER,Hispanic,N,10,65-69,English,SANTA ANA,ORANGE,92706,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$150,000 - $174,999",OWNER,Scottish (Scotch),N,26,70-74,English,CERRITOS,LOS ANGELES,90701,$0 - $0.01,SunOnly,MW,0,Partner,1
"$  80,000 - $89,999",OWNER,English,N,2,24 years or less,English,WESTMINSTER,ORANGE,92683,$0 - $0.01,SunOnly,MW,0,Partner,0
"$100,000 - $124,999",OWNER,English,N,12,60-64,English,IRVINE,ORANGE,92616,$10.00 - $10.99,7Day,MW,1,CustCall,1
"$  30,000 - $39,999",OWNER,Japanese,N,17,45-49,English,TUSTIN,ORANGE,92780,$0.01 - $0.50,Thu-Sun,FM,0,Partner,1
"$100,000 - $124,999",OWNER,Irish,N,1,40-44,English,NEWPORT BEACH,ORANGE,92660,$4.00 - $4.99,7Day,MW,0,CustCall,0
"$  30,000 - $39,999",RENTER,Japanese,Y,1,50-54,Japanese,COSTA MESA,ORANGE,92627,$4.00 - $4.99,7Day,FE,0,Crew,0
"$400,000 - $499,999",OWNER,English,N,12,70-74,English,MISSION VIEJO,ORANGE,92692,$10.00 - $10.99,7Day,YW,0,TeleIn,0
"$  70,000 - $79,999",OWNER,Italian,N,18,50-54,English,ANAHEIM,ORANGE,92804,$5.00 - $5.99,7Day,FM,0,Crew,1
"$150,000 - $174,999",OWNER,English,N,4,55-59,English,LAGUNA NIGUEL,ORANGE,92677,$1.00 - $1.99,Thu-Sun,MW,0,CircAdm,0
"$150,000 - $174,999",OWNER,English,N,42,75 years or more,English,HUNTINGTON BEACH,ORANGE,92646,$4.00 - $4.99,7Day,MW,0,CustCall,1
"$400,000 - $499,999",OWNER,Irish,Y,4,45-49,English,LAGUNA NIGUEL,ORANGE,92677,$2.00 - $2.99,SatSun,YW,0,OutMedia,0
"$125,000 - $149,999",OWNER,Italian,N,13,40-44,English,MISSION VIEJO,ORANGE,92691,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  80,000 - $89,999",OWNER,English,N,6,55-59,English,SAN CLEMENTE,ORANGE,92672,$4.00 - $4.99,7Day,YW,0,Crew,0
"$  80,000 - $89,999",OWNER,English,N,24,50-54,English,SANTA ANA,ORANGE,92703,$2.00 - $2.99,Thu-Sun,YM,0,Crew,0
"$125,000 - $149,999",OWNER,English,N,19,55-59,English,LOS ALAMITOS,ORANGE,90716,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,1,25-29,Spanish,SANTA ANA,ORANGE,92702,$0.01 - $0.50,SunOnly,FE,0,Crew1,1
"$  90,000 - $99,999",OWNER,German,N,43,75 years or more,German,SAN CLEMENTE,ORANGE,92672,$1.00 - $1.99,SunOnly,MM,0,DirectMl,1
"$100,000 - $124,999",OWNER,German,N,41,65-69,English,IRVINE,ORANGE,92606,$2.00 - $2.99,SunOnly,MW,0,CustCall,0
"$125,000 - $149,999",OWNER,English,N,44,75 years or more,English,MISSION VIEJO,ORANGE,92691,$7.00 - $7.99,7Day,MW,0,CustCall,0
"$125,000 - $149,999",OWNER,English,N,21,45-49,English,LONG BEACH,LOS ANGELES,90808,$0 - $0.01,SunOnly,MW,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,36,75 years or more,English,ANAHEIM,ORANGE,92806,$10.00 - $10.99,7Day,FM,0,CustCall,1
"$  50,000 - $59,999",RENTER,Korean,N,5,45-49,English,WHITTIER,LOS ANGELES,90604,$2.00 - $2.99,Thu-Sun,FM,0,TeleIn,0
"$  30,000 - $39,999",RENTER,English,N,3,65-69,English,LAKEWOOD,LOS ANGELES,90713,$2.00 - $2.99,Thu-Sun,YM,0,Crew,0
"$  30,000 - $39,999",RENTER,unknown,Y,23,40-44,Vietnamese,ANAHEIM,ORANGE,92806,$1.00 - $1.99,7Day,FE,0,TeleIn,0
"$175,000 - $199,999",OWNER,Irish,N,28,70-74,English,CORONA DEL MAR,ORANGE,92625,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"Under $20,000",OWNER,English,N,29,75 years or more,English,SANTA ANA,ORANGE,92704,$10.00 - $10.99,7Day,MM,0,CustCall,1
"$125,000 - $149,999",OWNER,unknown,Y,11,60-64,English,ALISO VIEJO,ORANGE,92656,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  30,000 - $39,999",RENTER,Korean,Y,1,75 years or more,Korean,FULLERTON,ORANGE,92833,$3.00 - $3.99,Thu-Sun,YM,0,Kiosk1,0
"$  40,000 - $49,999",OWNER,English,N,1,25-29,English,LA PALMA,ORANGE,90623,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$100,000 - $124,999",RENTER,English,Y,3,40-44,English,PLACENTIA,ORANGE,92870,$5.00 - $5.99,7Day,YM,0,Kiosk,0
"$150,000 - $174,999",OWNER,English,N,2,75 years or more,English,LAGUNA WOODS,ORANGE,92637,$0 - $0.01,7Day,MM,3,CustCall,1
"$150,000 - $174,999",OWNER,German,Y,24,45-49,English,CHINO HILLS,SAN BERNARDINO,91709,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$100,000 - $124,999",OWNER,Hispanic,N,22,50-54,English,DANA POINT,ORANGE,92629,$0 - $0.01,SunOnly,MW,0,Partner,0
"$125,000 - $149,999",OWNER,English,N,8,70-74,English,SAN CLEMENTE,ORANGE,92672,$5.00 - $5.99,7Day,MM,1,DirectMl,1
"$  20,000 - $29,999",RENTER,Hispanic,N,14,45-49,Spanish,SANTA ANA,ORANGE,92705,$0 - $0.01,7Day,FE,0,Partner,1
"$200,000 - $249,999",OWNER,German,N,28,75 years or more,English,LAGUNA NIGUEL,ORANGE,92674,$10.00 - $10.99,7Day,MW,0,CustCall,1
"Under $20,000",OWNER,Irish,N,15,65-69,English,COSTA MESA,ORANGE,92626,$2.00 - $2.99,Thu-Sun,YM,0,DirectMl,0
"$100,000 - $124,999",OWNER,Jewish,N,43,75 years or more,English,FULLERTON,ORANGE,92835,$10.00 - $10.99,7Day,FM,26,CustCall,1
"$100,000 - $124,999",OWNER,Hispanic,Y,14,45-49,Spanish,CORONA,RIVERSIDE,92882,$0 - $0.01,SunOnly,FM,0,Partner,1
"$125,000 - $149,999",OWNER,Arab,Y,16,50-54,English,SAN CLEMENTE,ORANGE,92673,$4.00 - $4.99,7Day,FW,0,CircAdm,1
"$175,000 - $199,999",OWNER,English,N,27,75 years or more,English,TUSTIN,ORANGE,92781,$10.00 - $10.99,7Day,MW,4,CustCall,1
"$  50,000 - $59,999",OWNER,Welsh,N,5,40-44,English,IRVINE,ORANGE,92614,$0.01 - $0.50,SunOnly,YW,0,Internet,1
"Under $20,000",OWNER,Hispanic,N,32,65-69,Spanish,SANTA ANA,ORANGE,92703,$1.00 - $1.99,SunOnly,FM,0,Partner,0
"$125,000 - $149,999",OWNER,Hispanic,N,5,50-54,Spanish,ORANGE,ORANGE,92865,$0.01 - $0.50,SunOnly,YW,0,Partner,1
"$  60,000 - $69,999",RENTER,Hispanic,N,11,40-44,Spanish,GARDEN GROVE,ORANGE,92841,$0.01 - $0.50,7Day,FE,0,Crew,1
"Under $20,000",RENTER,English,N,2,24 years or less,English,WESTMINSTER,ORANGE,92683,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$  20,000 - $29,999",RENTER,Scottish (Scotch),N,7,25-29,English,SANTA ANA,ORANGE,92703,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$125,000 - $149,999",RENTER,Hispanic,N,5,65-69,English,SAN CLEMENTE,ORANGE,92682,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$  20,000 - $29,999",RENTER,unknown,N,1,65-69,English,LAGUNA WOODS,ORANGE,92637,$2.00 - $2.99,SoooTFST,MM,0,TeleIn,0
"$  50,000 - $59,999",OWNER,English,N,12,45-49,English,GARDEN GROVE,ORANGE,92843,$0 - $0.01,SunOnly,MW,0,Partner,1
"$150,000 - $174,999",OWNER,Hispanic,N,14,60-64,English,LAKE FOREST,ORANGE,92630,$2.00 - $2.99,7Day,MW,9,Internet,1
"$  50,000 - $59,999",OWNER,Scottish (Scotch),N,2,60-64,English,PLACENTIA,ORANGE,92870,$4.00 - $4.99,7Day,FM,0,Partner,0
"$  60,000 - $69,999",RENTER,Norwegian,Y,5,50-54,English,HUNTINGTON BEACH,ORANGE,92646,$4.00 - $4.99,7Day,YM,0,CustCall,0
"$400,000 - $499,999",OWNER,Scottish (Scotch),N,19,45-49,English,ORANGE,ORANGE,92866,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$300,000 - $399,999",OWNER,Jewish,Y,16,55-59,Hebrew,IRVINE,ORANGE,92620,$7.00 - $7.99,7Day,MW,0,Crew,0
"$  60,000 - $69,999",OWNER,German,N,13,55-59,English,NEWPORT BEACH,ORANGE,92659,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  30,000 - $39,999",OWNER,Hispanic,N,19,45-49,English,BREA,ORANGE,92821,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$  20,000 - $29,999",RENTER,Hispanic,N,1,45-49,English,GARDEN GROVE,ORANGE,92841,$0.51 - $0.99,7Day,YM,0,Crew,0
"$  40,000 - $49,999",OWNER,unknown,N,8,25-29,English,LA HABRA,ORANGE,90631,$1.00 - $1.99,7Day,MW,0,Crew,0
"$  30,000 - $39,999",RENTER,Hispanic,N,10,40-44,English,HAWAIIAN GARDENS,LOS ANGELES,90716,$0.01 - $0.50,Thu-Sun,FE,0,Crew,0
"$  60,000 - $69,999",OWNER,unknown,N,35,65-69,English,ANAHEIM,ORANGE,92805,$4.00 - $4.99,7Day,FM,0,Crew,0
"$150,000 - $174,999",OWNER,Swedish,Y,18,50-54,English,CERRITOS,LOS ANGELES,90703,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$100,000 - $124,999",OWNER,French,N,7,45-49,English,ANAHEIM,ORANGE,92808,$10.00 - $10.99,7Day,FW,8,CustCall,1
"$  30,000 - $39,999",RENTER,Hispanic,N,2,25-29,English,GARDEN GROVE,ORANGE,92840,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$  80,000 - $89,999",OWNER,Hispanic,N,10,35-39,Spanish,ALISO VIEJO,ORANGE,92656,$0.01 - $0.50,SunOnly,FE,0,Crew,1
"$  50,000 - $59,999",RENTER,Japanese,Y,5,70-74,Japanese,FULLERTON,ORANGE,92833,$8.00 - $8.99,7Day,MM,0,Internet,0
"$  90,000 - $99,999",OWNER,English,N,30,65-69,English,LONG BEACH,LOS ANGELES,90808,$0 - $0.01,SunOnly,MW,0,Partner,1
"$  20,000 - $29,999",OWNER,Hispanic,N,3,45-49,Spanish,ANAHEIM,ORANGE,92804,$4.00 - $4.99,7Day,FE,0,Kiosk,0
"$175,000 - $199,999",OWNER,Swedish,N,30,55-59,English,IRVINE,ORANGE,92620,$4.00 - $4.99,7Day,MW,0,CustCall,0
"Under $20,000",RENTER,Hispanic,N,37,60-64,English,SANTA ANA,ORANGE,92701,$2.00 - $2.99,SunOnly,FE,0,TeleIn,0
"$  80,000 - $89,999",OWNER,Italian,N,3,25-29,English,FOUNTAIN VALLEY,ORANGE,92708,$0 - $0.01,SunOnly,MW,0,Partner,0
"$  20,000 - $29,999",OWNER,Hispanic,Y,25,45-49,Spanish,WESTMINSTER,ORANGE,92683,$0 - $0.01,SunOnly,FM,0,Partner,1
"$100,000 - $124,999",OWNER,English,N,25,65-69,English,MISSION VIEJO,ORANGE,92691,$10.00 - $10.99,7Day,MW,0,CustCall,1
"Under $20,000",RENTER,English,N,2,75 years or more,English,SEAL BEACH,ORANGE,90740,$4.00 - $4.99,7Day,ME,1,CustCall,1
"Under $20,000",OWNER,English,N,29,75 years or more,English,SANTA ANA,ORANGE,92701,$4.00 - $4.99,7Day,MW,0,CustCall,1
"$  80,000 - $89,999",OWNER,English,N,41,70-74,English,ORANGE,ORANGE,92866,$4.00 - $4.99,7Day,MM,0,CustCall,1
"$175,000 - $199,999",OWNER,German,N,6,50-54,English,SEAL BEACH,ORANGE,90740,$10.00 - $10.99,SunOnly,MW,0,CustCall,1
"Under $20,000",RENTER,Hispanic,N,1,30-34,English,SANTA ANA,ORANGE,92702,$0.01 - $0.50,7Day,FE,0,Crew,1
"$  60,000 - $69,999",OWNER,Arab,Y,21,55-59,Arabic,LAGUNA HILLS,ORANGE,92653,$2.00 - $2.99,Soooooo,YW,0,CustCall,0
"$100,000 - $124,999",OWNER,Italian,N,3,45-49,English,HUNTINGTON BEACH,ORANGE,92646,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  70,000 - $79,999",OWNER,German,N,2,55-59,English,LONG BEACH,LOS ANGELES,90815,$2.00 - $2.99,Thu-Sun,MW,0,Crew,0
"$  40,000 - $49,999",OWNER,Hispanic,N,9,55-59,English,HUNTINGTON BEACH,ORANGE,92647,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$200,000 - $249,999",OWNER,French,N,37,75 years or more,English,ORANGE,ORANGE,92864,$0 - $0.01,SunOnly,MM,0,CustCall,1
"$  90,000 - $99,999",OWNER,German,N,46,75 years or more,English,BUENA PARK,ORANGE,90620,$0.01 - $0.50,7Day,MW,0,CustCall,1
"Under $20,000",OWNER,English,N,8,65-69,English,SEAL BEACH,ORANGE,90740,$5.00 - $5.99,7Day,MW,1,CustCall,1
"$  80,000 - $89,999",OWNER,Chinese,N,3,25-29,English,PLACENTIA,ORANGE,92870,$0 - $0.01,SunOnly,YM,0,Partner,1
"$125,000 - $149,999",OWNER,Welsh,N,39,70-74,English,IRVINE,ORANGE,92604,$4.00 - $4.99,SoooTFS,MW,0,DirectMl,0
"$300,000 - $399,999",OWNER,Jewish,N,30,65-69,English,ANAHEIM,ORANGE,92806,$2.00 - $2.99,7Day,MW,1,TeleIn,1
"$150,000 - $174,999",OWNER,African (other),Y,12,50-54,English,ALISO VIEJO,ORANGE,92656,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"Under $20,000",RENTER,Hispanic,N,13,65-69,English,ANAHEIM,ORANGE,92804,$4.00 - $4.99,7Day,ME,0,Crew,0
"Under $20,000",OWNER,Vietnamese,N,1,24 years or less,English,WESTMINSTER,ORANGE,92683,$0 - $0.01,7Day,FM,0,Partner,1
"$175,000 - $199,999",OWNER,Hispanic,Y,15,45-49,English,CHINO,SAN BERNARDINO,91710,$0.01 - $0.50,SunOnly,FM,0,Partner,0
"$300,000 - $399,999",OWNER,Vietnamese,Y,10,50-54,English,FOUNTAIN VALLEY,ORANGE,92708,$2.00 - $2.99,Thu-Sun,MW,0,CustCall,0
"$  90,000 - $99,999",RENTER,Hispanic,N,2,24 years or less,English,ORANGE,ORANGE,92868,$1.00 - $1.99,SunOnly,YM,0,Kiosk,0
"Under $20,000",RENTER,Swedish,N,1,35-39,English,LONG BEACH,LOS ANGELES,90806,$4.00 - $4.99,7Day,FE,0,Crew,0
"$  40,000 - $49,999",RENTER,English,N,3,24 years or less,English,TUSTIN,ORANGE,92780,$0.01 - $0.50,7Day,YM,0,CustCall,1
"$300,000 - $399,999",OWNER,English,N,19,60-64,English,SAN CLEMENTE,ORANGE,92673,$10.00 - $10.99,7Day,MW,3,TeleIn,1
"$300,000 - $399,999",OWNER,Welsh,N,18,70-74,English,DANA POINT,ORANGE,92629,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$175,000 - $199,999",OWNER,English,N,15,55-59,English,ORANGE,ORANGE,92867,$10.00 - $10.99,SunOnly,MW,0,CustCall,1
"$125,000 - $149,999",OWNER,Vietnamese,N,28,55-59,English,WESTMINSTER,ORANGE,92683,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$  20,000 - $29,999",OWNER,English,N,39,65-69,English,PLACENTIA,ORANGE,92870,$0.51 - $0.99,7Day,MM,0,DirectMl,1
"$  50,000 - $59,999",OWNER,English,N,18,70-74,English,WESTMINSTER,ORANGE,92679,$10.00 - $10.99,7Day,MW,0,CustCall,1
"Under $20,000",RENTER,Hispanic,N,2,30-34,Spanish,SANTA ANA,ORANGE,92701,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"$  80,000 - $89,999",RENTER,Danish,N,12,55-59,English,LONG BEACH,LOS ANGELES,90803,$0.01 - $0.50,SunOnly,FM,0,Partner,0
"$400,000 - $499,999",OWNER,Scottish (Scotch),N,10,65-69,English,MISSION VIEJO,ORANGE,92693,$5.00 - $5.99,7Day,MM,1,TeleIn,1
"$100,000 - $124,999",RENTER,English,N,3,60-64,English,RANCHO SANTA MARGARITA,ORANGE,92688,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  30,000 - $39,999",RENTER,Hispanic,N,7,40-44,English,ANAHEIM,ORANGE,92806,$0 - $0.01,SunOnly,MM,0,Partner,0
"$300,000 - $399,999",OWNER,German,N,36,55-59,English,LOS ALAMITOS,ORANGE,90720,$8.00 - $8.99,7Day,MW,0,CustCall,1
"$  30,000 - $39,999",OWNER,Vietnamese,N,10,30-34,Vietnamese,MISSION VIEJO,ORANGE,92691,$2.00 - $2.99,SunOnly,FM,0,Kiosk,0
"$100,000 - $124,999",OWNER,English,Y,17,55-59,English,PLACENTIA,ORANGE,92870,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,5,40-44,English,SANTA ANA,ORANGE,92706,$4.00 - $4.99,7Day,FE,0,TeleIn,0
"$  40,000 - $49,999",OWNER,English,N,18,50-54,English,ALISO VIEJO,ORANGE,92656,$10.00 - $10.99,7Day,FM,4,TeleIn,1
"$  20,000 - $29,999",OWNER,Hispanic,Y,26,60-64,Spanish,SANTA ANA,ORANGE,92701,$0.01 - $0.50,SunOnly,FM,0,Partner,0
"$  40,000 - $49,999",OWNER,Hispanic,Y,17,50-54,Spanish,SANTA ANA,ORANGE,92701,$1.00 - $1.99,SunOnly,YM,0,CustCall,0
"$  30,000 - $39,999",OWNER,English,N,5,60-64,English,TUSTIN,ORANGE,92780,$1.00 - $1.99,Soooooo,ME,0,CustCall,0
"$200,000 - $249,999",OWNER,unknown,N,31,65-69,Spanish,MISSION VIEJO,ORANGE,92691,$1.00 - $1.99,7Day,MW,0,Event,0
